20 
1 3 0.1001 YES 1500 SOLD
2 6 0.0501 NO 1200 SELL
3 1 0.0101 YES 900 SELL
4 8 0.0101 YES 2700 SELL
5 16 0.1201 YES 2500 SOLD
6 13 0.0701 NO 1700 SELL
7 2 0.0201 YES 1200 SELL
8 4 0.0601 NO 2100 SELL
9 6 0.0401 YES 1650 SELL
10 5 0.0501 YES 990 SOLD
11 7 0.0501 YES 2100 SELL
12 9 0.0201 YES 800 SELL
13 11 0.1101 NO 1500 SELL
14 12 0.0601 YES 2050 SOLD
15 10 0.0301 YES 1500 SELL
16 14 0.0201 YES 2400 SELL
17 16 0.0901 YES 1100 SELL
18 15 0.0401 NO 1900 SELL
19 8 0.0101 YES 3150 SELL
20 7 0.0301 YES 1400 SELL
