20 
1 5 50 10.01.07 10.02.07 
2 2 10 1.01.07 16.07.07 
3 1 20 3.03.06 12.12.06 
4 3 15 1.01.07 7.07.07 
5 4 50 4.04.07 5.05.07 
6 6 30 15.12.06 7.02.07 
7 10 5 7.07.07 20.07.07 
8 9 25 1.02.07 10.04.07 
9 7 50 1.01.07 15.01.07 
10 8 10 1.01.07 20.01.07 
11 11 15 25.04.07 10.06.07 
12 13 30 1.01.07 12.05.07 
13 12 5 4.04.07 20.07.07 
14 20 5 4.04.07 14.06.07 
15 14 30 10.07.07 27.06.07 
16 15 5 12.12.06 5.03.07 
17 17 20 24.02.07 7.07.07 
18 16 20 24.02.07 19.04.07 
19 18 10 24.02.07 3.03.07 
20 19 10 1.07.07 20.07.07 
